id	Word 1	Word 2	Word 3	Word 4	Word 5	Word 6	Word 7	Word 8	Word 9	Word 10
0	Orange	Elephant	Desk	Gravity	Ocean	Diamond	Comet	Computer	Sky	Tree
1	dog	cat	tree	fish	sun	moon	sea	air	sand	grass
2	Blue	Tree	Cat	Dog	Book	Car	House	Table	Ball	Door
3	dog	cat	ball	book	pencil	table	chair	apple	banana	orange
4	dog	cat	tree	moon	car	book	pen	bus	cloud	table
5	Skyscraper	Cloud	Ocean	Sun	Moon	Earth	Mountain	River	Flame	Star
6	Blue	Car	House	Tree	Bicycle	Mountain	Sea	Sun	Earth	Sky
7	dog	cat	book	table	chair	tree	sun	moon	sky	ocean
8	Lion	Table	Sky	Sun	Tree	Ocean	Car	Mouse	Dog	Cat
9	apple	ocean	tree	book	cat	dog	pen	table	chair	house
10	Rainbow	Earth	Ocean	Sun	Moon	Mountain	Sky	Cloud	River	Lake
11	Banana	Tree	Sun	Water	Fire	Moon	Earth	Air	Stone	Wood
12	Apple	Tree	Banana	Car	Sun	Moon	Earth	Sky	Fire	Water
13	Apple	Tree	Table	Water	Earth	Sun	Moon	Fire	Stars	Sky
14	elephant	table	chicken	tree	dog	car	cat	computer	chair	phone
15	cat	dog	tree	book	pen	fork	spoon	table	chair	lamp
16	Ocean	Desert	Tree	Mountain	River	Sky	Sun	Moon	Earth	Love
17	Carrot	Door	Elephant	Fire	Idea	Lion	Music	Ocean	Pencil	Stone
18	Sun	Stars	Moon	Earth	Sky	Day	Night	Sun	Stars	Earth
19	apple	dog	table	tree	star	sun	flower	grass	sky	paper
20	apple	table	water	dog	book	pen	cat	chair	sun	moon
21	Table	Chair	Window	Door	Pen	Paper	Water	Sun	Moon	Tree
22	apple	cheese	car	moon	rain	pen	book	bread	sun	banana
23	apple	ball	book	dog	elephant	eraser	glass	pencil	shoe	table
24	apple	table	bed	book	chair	pen	shirt	car	house	zebra
25	chair	table	chair	table	light	dark	tree	dog	cat	dog
26	Lion	Chair	Tree	Dog	Grass	House	Stone	Water	Beach	Car
27	Apple	Dog	Sun	Tree	Moon	Water	Fire	Truth	Love	Hope
28	lion	dog	tree	elephant	flower	sun	grass	rock	river	fish
29	Table	Pen	Chair	Car	Tree	Sun	Bird	Book	House	Window
30	elephant	bridge	atlas	airplane	apple	pencil	dream	chair	table	flower
31	apple	table	dog	chair	cloud	tree	book	pencil	flower	sun
32	book	pen	chair	table	car	tree	mountain	river	lake	bicycle
33	dog	cat	tree	car	computer	house	table	chair	book	pencil
34	Apple	Chair	Table	Tree	Sun	Moon	Ocean	Mountain	River	Sky
35	dog	tree	spoon	road	book	fan	car	chair	cat	table
36	dog	cat	chair	table	banana	apple	pen	cup	book	box
37	dog	cat	grass	table	chair	pillow	tree	sky	ocean	river
38	dog	car	apple	tree	table	cup	sofa	pencil	book	computer
39	Rock	Tree	Sun	Water	Fire	Earth	Heart	Mind	Moon	Sky
40	banana	table	sun	chair	bed	dog	computer	apple	television	house
41	apple	book	table	chair	tree	ball	car	dog	sun	moon
42	Apple	Blanket	Cloud	Desert	Earth	Ocean	Road	Salt	Sun	Tree
43	Apple	Tree	Door	Table	Chair	Sun	Moon	Star	Sky	Ocean
44	Bed	Table	Chair	Book	Door	Tree	Window	Sun	Moon	Sky
45	Apple	Dog	Tree	Table	Book	Chair	Sun	Moon	Earth	Water
46	Elephant	Tree	Chair	Orange	Lake	Moon	Table	Boat	Mountain	Ocean
47	car	book	lamp	chair	door	tree	table	dog	cat	bird
48	Rock	tree	table	house	book	spoon	chair	fork	pen	car
49	dog	cat	tree	book	car	house	pen	table	chair	bed
50	Apple	Elephant	Chair	Sun	Moon	Ocean	Tree	Dog	Cat	Human
51	apple	moon	tree	book	star	rock	water	cloud	sun	dog
52	Happiness	Sadness	Love	Hate	Peace	War	Joy	Sorrow	Tranquility	Serenity
53	Shoe	Book	Tree	Sky	Table	House	Ocean	Desert	Mountain	River
54	ocean	apple	rainbow	bicycle	mountain	carrot	dog	sun	banana	elephant
55	Table	Vase	Car	Jacket	Kite	Phone	Pencil	Tree	Door	Window
56	cat	dog	car	tree	cloud	grass	sun	sky	earth	moon
57	Elephant	Onion	Dandelion	Ocean	Moon	Sky	Apple	Mountain	Zebra	Pencil
58	sun	moon	apple	dog	castle	road	tree	water	knife	elephant
59	Apple	Book	Door	Egg	Eye	House	Kite	Lamb	Moon	Ocean
60	Blue	Chair	Green	Love	Sun	Star	Moon	Fire	Earth	Water
61	Mountain	Tree	Ocean	Sky	River	Sun	Moon	Cloud	Rainbow	Earth
62	Apple	Tree	Elephant	Cat	Dog	Bicycle	Book	Table	Chair	Pen
63	cat	dog	table	chair	pen	sun	moon	sky	ocean	cloud
64	dog	cat	bird	tree	rock	cloud	sun	moon	flower	lake
65	dog	cat	tree	rose	banana	apple	book	pen	table	chair
66	Apple	banana	chair	dog	elephant	flower	grass	house	knife	moon
67	elephant	banana	dog	tree	bat	apple	ocean	book	leaf	grass
68	cat	computer	door	elephant	ball	dog	table	moon	shoe	tree
69		apple	chair	cat	dog	elephant	glass	hat	hair	heart
70	book	pen	house	car	dog	table	chair	cat	television	apple
71	apple	cat	dog	bird	cloud	tree	car	ball	pen	table
72	Wood	Ocean	Mercury	Rain	Moon	Sun	Table	Couch	Leaf	Rock
73	Apple	Banana	Table	Desk	Chair	Ball	Pencil	Paper	Book	Car
74	Lion	Tree	Elephant	Bridge	Chair	Ocean	Sun	Moon	Star	Mountain
75	brick	table	banana	book	pen	dog	cat	tree	chair	sun
76	Sun	Moon	Star	Planet	Ocean	Wave	Sand	Water	Air	Stone
77	dog	cat	chair	tree	car	road	house	table	ball	pen
78	apple	dog	tree	table	chair	book	pen	sun	moon	star
79	Sun	Table	Chair	Tree	Wind	Bird	Moon	Grass	Mountain	Ocean
80	dog	cat	rabbit	lion	elephant	snake	horse	monkey	giraffe	zebra
81	Elephant	Car	Table	Sun	Coffee	Moon	Tree	House	Cloud	Paper
82	Elephant	Chair	Moon	Tree	Sun	Cloud	Apple	Water	Football	Table
83	Apple	Orange	Ball	Book	Tree	Table	Sun	Moon	Dog	Cat
84	apple	house	car	table	dog	cat	book	pencil	chair	bed
85	Apple	Elephant	Sun	Moon	Ocean	Mountain	Sky	Train	Tree	Rock
86	Cat	Love	Book	Tree	Table	Chair	Fire	Water	Earth	Sun
87	apple	orange	book	tree	table	chair	dog	cat	ball	car
88	Sky	sun	earth	moon	cloud	rain	umbrella	rainbow	glass	grass
89	dog	cat	tree	cloud	city	car	sea	mountain	sky	grass
90	Sea	Sky	Earth	Bird	Sun	Moon	Tree	River	Mountain	Ocean
91	apple	dog	tree	star	ocean	mountain	car	sandwich	table	sun
92	Mountain	Ocean	Tree	Bird	Cloud	Rock	Sun	Moon	Rose	Grass
93	chair	table	cup	dog	cat	bird	mouse	tree	rock	grass
94	apple	dog	chair	window	table	cat	pencil	ball	man	woman
95	Stone	Tree	River	House	Chair	Table	Car	Sun	Moon	Ocean
96	Apple	Elephant	Paper	Ball	Chair	Table	Door	Window	Pencil	Bed
97	apple	dog	book	computer	pen	table	chair	banana	bed	pillow
98	Apple	Elephant	Sun	Moon	Earth	Ocean	Tree	House	Ball	Pencil
99	Apple	Tree	Sun	Moon	Elephant	Cat	Rabbit	Dog	Horse	Ball
