P_ID,Flow,Word count,NAs
0,0.6716061690664886,50,3

1,0.7209806950091587,50,0

2,0.6803265675278368,50,0

3,0.6171456815335762,50,3

4,0.7277700993266667,50,2

5,0.7450186248814098,50,0

6,0.7236424019890856,50,0

7,0.5692207093837461,50,2

8,0.6869581271566296,50,2

9,0.6217485356316862,50,0

10,0.3042470474345472,50,0

11,0.6520125155320027,50,0

12,0.6584376964542223,50,1

13,0.4483412315769826,50,2

14,0.4109061655145437,50,0

15,0.7298081025893007,50,2

16,0.4797613424879021,50,1

17,0.2922782689500653,50,0

18,0.6979701236336334,50,1

19,0.5276108872843434,50,0

20,0.7761957441568651,50,0

21,0.7002861724007391,50,0

22,0.5082607305399555,50,9

23,0.7085665582112928,50,0

24,0.5551531908210082,50,5

25,0.6198574999115358,50,3

26,0.6454811747725134,50,1

27,0.43741265440236765,50,0

28,0.7505866740061562,50,1

29,0.614321979112251,50,0

30,0.5543635667302557,50,0

31,0.4238052769742829,50,5

32,0.7437003616679081,50,1

33,0.760421217225653,50,0

34,0.48321162595723566,50,0

35,0.4021975146592015,50,2

36,0.7380189523877713,50,0

37,0.47146091721132816,50,1

38,0.4412594441517879,50,19

39,0.7935877126197307,50,2

40,0.4513021186449889,50,19

41,0.7114644928667625,50,1

42,0.669327937375781,50,2

43,0.7200413611964253,50,15

44,0.7450554861838319,50,0

45,0.7239550634276366,50,0

46,0.7311161660352395,50,0

47,0.4831818760687651,50,0

48,0.7318755314336693,50,0

49,0.6797226111763353,50,4

50,0.7747007264026305,50,1

51,0.5017736366090896,50,3

52,0.6656329915386733,50,0

53,0.45114083914574304,50,1

54,0.75128389171662,50,0

55,0.6901945011042308,50,1

56,0.4858544057529466,50,3

57,0.6011348927467953,50,15

58,0.7184784796192856,50,0

59,0.49322533106932975,50,20

60,0.714769596198015,50,1

61,0.6983514276808183,50,0

62,0.7355243942606089,50,1

63,0.7341909248232221,50,2

64,0.6560884395443771,50,0

65,0.7448946259370918,50,3

66,0.7198394066452901,50,0

67,0.7508998830798265,50,0

68,0.7431205537200744,50,0

69,0.7007085098303171,50,3

70,0.4425869958901268,50,0

71,0.7769197335780395,50,2

72,0.7409885376948042,50,0

73,0.5834606977054513,50,0

74,0.48843483905870994,50,1

75,0.6792463697121123,50,0

76,0.6783272226641808,50,0

77,0.6312485785933385,50,5

78,0.6519783609495169,50,0

79,0.659819013420587,50,6

80,0.7511076484627088,50,0

81,0.5224234968775596,50,3

82,0.7012575184144075,50,0

83,0.41200296016176363,50,21

84,0.7055401455878888,50,0

85,0.7801544460405945,50,1

86,0.6778343933272426,50,11

87,0.7251130986273537,50,0

88,0.704715643209962,50,0

89,0.6849506171350572,50,0

90,0.4538404008211659,50,0

91,0.4837135757399183,50,0

92,0.30827300891777193,50,16

93,0.6882435371423172,50,0

94,0.5951431889350695,50,2

95,0.7146218169094508,50,3

96,0.7680002559673552,50,4

97,0.28768544721833905,50,2

98,0.7531424702425695,50,0

99,0.753428253654314,50,0

